itemId,items_sold,price,ratingScore,pack_of,weight_per_item,brand,country
376184761,76300,374,4.8,8,50.0,Knorr,Germany
299804113,371,5599,4.9,40,,ABC,Indonesia
439137240,104,300,3.9,1,,Indomie,Indonesia
450903836,101,1099,4.5,1,,Samyang,South Korea
371826888,943,579,4.5,1,130.0,Samyang,South Korea
431073961,322,1199,4.3,2,270.0,Samyang,South Korea
440849377,112,2699,5.0,5,650.0,Samyang,South Korea
466047350,349,149,4.1,1,,ABC,Indonesia
570501839,237,460,4.7,6,70.0,Fruitien,Pakistan
220252690,745,400,4.4,5,70.0,Indomie,Indonesia
269615020,196,1199,4.4,5,70.0,Indomie,Indonesia
227472169,197,2849,4.9,5,,Samyang,South Korea
217671048,242,2599,4.8,5,700.0,Samyang,South Korea
269867103,321,2250,4.5,2,,Samyang,South Korea
223995428,890,2599,4.7,2,,Samyang,South Korea
478488904,1100,205,4.4,1,85.0,ABC,Indonesia
296174628,2800,209,4.5,3,60.0,Every Season,Pakistan
110582515,888,550,4.6,1,,Samyang,South Korea
296209006,2900,239,4.5,3,65.0,Noodelite,Pakistan
131143717,474600,175,4.8,1,200.0,Knorr,Germany
285695093,731,650,4.1,1,,Nongshim,Unknown
110564909,2100,500,4.5,1,,Samyang,South Korea
422107696,167,570,4.1,3,140.0,Samyang,South Korea
434671312,792,460,4.9,6,70.0,Fruitien,Pakistan
422107714,649,595,4.5,1,140.0,Samyang,South Korea
406487039,164,599,4.2,1,140.0,Samyang,South Korea
298877015,1400,155,4.5,1,,ABC,Indonesia
450260183,1700,579,4.5,1,,Samyang,South Korea
451101386,544,540,4.6,1,140.0,Samyang,South Korea
213832739,627,500,4.3,1,,Samyang,South Korea
478881103,440,1125,4.6,2,130.0,Samyang,South Korea
257525383,427,1599,4.4,5,80.0,Indomie,Indonesia
422116044,208,525,4.2,1,120.0,Samyang,South Korea
478491871,232,415,4.5,2,85.0,ABC,Indonesia
353777752,139,2649,4.5,5,,Samyang,South Korea
368953806,509,1699,4.6,5,,Indomie,Indonesia
541525517,347,460,4.8,6,70.0,Fruitien,Pakistan
436853722,829,899,4.4,10,70.0,Indomie,Indonesia
491814670,214,579,4.9,1,,Samyang,South Korea
424272147,859,1099,4.7,10,120.0,Indomie,Indonesia
418353759,851,449,4.6,5,70.0,Indomie,Indonesia
539447051,159,980,4.8,1,31.5,Fruitien,Pakistan
432197429,196,599,4.5,1,130.0,Samyang,South Korea
217655779,546,2999,4.8,5,650.0,Samyang,South Korea
412606254,110,999,4.9,10,120.0,Indomie,Indonesia
584969874,168,485,4.2,1,,Samyang,South Korea
376959811,453,2849,5.0,1,130.0,Samyang,South Korea
540430504,337,2699,4.9,1,,Samyang,South Korea
424871763,102,549,4.9,3,140.0,Samyang,South Korea
532539077,185,549,5.0,1,,Samyang,South Korea
451493824,302,579,4.3,1,,Samyang,South Korea
419242381,139,599,4.7,5,120.0,Indomie,Indonesia
198296076,848,400,4.6,5,,Indomie,Indonesia
419243323,266,1099,4.7,10,120.0,Indomie,Indonesia
285910605,616,400,4.3,5,70.0,Indomie,Indonesia
523345429,165,680,4.8,1,70.0,Fruitien,Pakistan
431383587,253,2849,4.7,5,130.0,Samyang,South Korea
113906852,2400,525,4.6,2,,Samyang,South Korea
227467275,492,2999,4.8,5,650.0,Samyang,South Korea
418100008,281,350,4.2,1,71.0,Kai,Unknown
366549059,255,649,4.6,2,105.0,Samyang,South Korea
459412880,117,499,4.8,1,120.0,Samyang,South Korea
257536710,899,1199,4.8,5,75.0,Indomie,Indonesia
