adFlag,brandId,brandName,categories/0,categories/1,categories/2,categories/3,cheapest_sku,clickTrace,directSimilarUrl,gridTitleLine,icons/0/domClass,icons/0/group,icons/0/showType,icons/0/text,icons/0/type,icons/1/domClass,icons/1/group,icons/1/showType,icons/1/text,icons/1/type,icons/2/domClass,icons/2/group,icons/2/showType,icons/2/type,image,inStock,isBadgeAutoScroll,isFission,isSmartImage,isSponsored,itemId,itemSoldCntShow,itemUrl,location,longImageDisplayable,name,nid,originalPrice,originalPriceShow,price,priceShow,promotionId,querystring,ratingScore,review,sellerId,sellerName,showBackIcon,showCart,sku,skuId,skuType,skus/0/id,tItemType
0,72407,Knorr,3752,7221,10002142,10002450,376184761_PK-1861759502,query:noodles;nid:376184761;src:LazadaMainSrp;rn:cbb68db6b5842fa8504684e3c487729d;region:pk;sku:376184761_PK;price:374;client:desktop;supplier_id:1000000;biz_source:h5_unknow;slot:0;utlog_bucket_id:470687;asc_category_id:10002450;item_id:376184761;sku_id:1861759502;shop_id:111950;templateInfo:,https://native.m.lazada.com/dynamicxresult?item_img=https%3A%2F%2Fstatic-01.daraz.pk%2Fp%2F7f4555eb13db505c4c045ad5a20314b5.jpg&src=srp_findsimilar&item_id=376184761&sku_id=1861759502&params=%7B%22sub_src%22%3A%22long_press%22%2C%22src%22%3A%22srp_findsimilar%22%7D&m=tpp_findSimilar&q=noodles&similarType=findSimilarV1&price=374.00&spuTriggerItem=0,2,116115,3,0,,img,,,,,,,,,,https://static-01.daraz.pk/p/7f4555eb13db505c4c045ad5a20314b5.jpg,TRUE,FALSE,0,FALSE,FALSE,376184761,76.3K sold,//www.daraz.pk/products/pack-of-8-knorr-noodles-chatpatta-50g-i376184761.html,Punjab,FALSE,Pack of 8 Knorr Noodles Chatpatta - 50G,376184761,400,,374,Rs. 374,,priceCompare=skuId%3A1861759502%3Bsource%3Alazada-search-voucher%3Bsn%3Acbb68db6b5842fa8504684e3c487729d%3BoriginPrice%3A37400%3BdisplayPrice%3A37400%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1738183010198&fs_ab=1&c=&ratingscore=4.825072886297376&freeshipping=0&source=search&channelLpJumpArgs=&fuse_fs=&search=1&sale=76331&price=374&review=1029&location=Punjab&stock=1&lang=en&request_id=cbb68db6b5842fa8504684e3c487729d&clickTrackInfo=query%253Anoodles%253Bnid%253A376184761%253Bsrc%253ALazadaMainSrp%253Brn%253Acbb68db6b5842fa8504684e3c487729d%253Bregion%253Apk%253Bsku%253A376184761_PK%253Bprice%253A374%253Bclient%253Adesktop%253Bsupplier_id%253A1000000%253Bbiz_source%253Ah5_unknow%253Bslot%253A0%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10002450%253Bitem_id%253A376184761%253Bsku_id%253A1861759502%253Bshop_id%253A111950%253BtemplateInfo%253A,4.825072886297376,1029,1000000,Daraz Retail Seller,FALSE,FALSE,376184761_PK,1861759502,,376184761_PK-1861759502,nt_product
0,39704,No Brand,3752,7221,10002140,10002445,479771235_PK-2255842993,query:noodles;nid:479771235;src:LazadaMainSrp;rn:cbb68db6b5842fa8504684e3c487729d;region:pk;sku:479771235_PK;price:549;client:desktop;supplier_id:6005014146122;biz_source:h5_unknow;slot:1;utlog_bucket_id:470687;asc_category_id:10002445;item_id:479771235;sku_id:2255842993;shop_id:688686;templateInfo:,https://native.m.lazada.com/dynamicxresult?item_img=https%3A%2F%2Fstatic-01.daraz.pk%2Fp%2Faa75948188356ece08921f530f4c1eb1.png&src=srp_findsimilar&item_id=479771235&sku_id=2255842993&params=%7B%22sub_src%22%3A%22long_press%22%2C%22src%22%3A%22srp_findsimilar%22%7D&m=tpp_findSimilar&q=noodles&similarType=findSimilarV1&price=549.00&spuTriggerItem=0,2,,,,,,,,,,,,,,,https://static-01.daraz.pk/p/aa75948188356ece08921f530f4c1eb1.png,TRUE,FALSE,0,FALSE,FALSE,479771235,19 sold,//www.daraz.pk/products/samyang-hot-chicken-flavor-ramen-pack-of-1-140-grams-each-noodle-black-samyang-ramen-1x-spicy-buldak-korean-ramen-spicy-korean-noodles-i479771235.html,Punjab,FALSE,Samyang Hot Chicken Flavor Ramen Pack of 1 | 140 grams each Noodle | Black Samyang Ramen | 1x Spicy | Buldak Korean Ramen | Spicy Korean Noodles |,479771235,700,,549,Rs. 549,,priceCompare=skuId%3A2255842993%3Bsource%3Alazada-search-voucher%3Bsn%3Acbb68db6b5842fa8504684e3c487729d%3BoriginPrice%3A54900%3BdisplayPrice%3A54900%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1738183010198&fs_ab=1&c=&ratingscore=&freeshipping=0&source=search&channelLpJumpArgs=&fuse_fs=&search=1&sale=19&price=549&review=0&location=Punjab&stock=1&lang=en&request_id=cbb68db6b5842fa8504684e3c487729d&clickTrackInfo=query%253Anoodles%253Bnid%253A479771235%253Bsrc%253ALazadaMainSrp%253Brn%253Acbb68db6b5842fa8504684e3c487729d%253Bregion%253Apk%253Bsku%253A479771235_PK%253Bprice%253A549%253Bclient%253Adesktop%253Bsupplier_id%253A6005014146122%253Bbiz_source%253Ah5_unknow%253Bslot%253A1%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10002445%253Bitem_id%253A479771235%253Bsku_id%253A2255842993%253Bshop_id%253A688686%253BtemplateInfo%253A,,0,6.00501E+12,Anaan,FALSE,FALSE,479771235_PK,2255842993,,479771235_PK-2255842993,nt_product
0,39704,No Brand,3752,7221,10002142,10002450,480787077_PK-2256146981,query:noodles;nid:480787077;src:LazadaMainSrp;rn:cbb68db6b5842fa8504684e3c487729d;region:pk;sku:480787077_PK;price:2599;client:desktop;supplier_id:6005010144067;biz_source:h5_unknow;slot:2;utlog_bucket_id:470687;asc_category_id:10002450;item_id:480787077;sku_id:2256146981;shop_id:327694;templateInfo:,https://native.m.lazada.com/dynamicxresult?item_img=https%3A%2F%2Fstatic-01.daraz.pk%2Fp%2Fde6c49f775cfd0f1cfa4c9e79644e86d.png&src=srp_findsimilar&item_id=480787077&sku_id=2256146981&params=%7B%22sub_src%22%3A%22long_press%22%2C%22src%22%3A%22srp_findsimilar%22%7D&m=tpp_findSimilar&q=noodles&similarType=findSimilarV1&price=2599.00&spuTriggerItem=0,2,,,,,,,,,,,,,,,https://static-01.daraz.pk/p/de6c49f775cfd0f1cfa4c9e79644e86d.png,TRUE,FALSE,0,FALSE,FALSE,480787077,9 sold,//www.daraz.pk/products/5-2x-jjjajang-i480787077.html,Punjab,FALSE,Samyang Ramen Pack of 5 DEAL | Samyang hot chicken Ramen (Black) + Samyang 2x Spicy (RED) + Samyang Carbo Ramen (Pink) + Samyang Cheese Ramen (Yellow) + Samyang Jjajang | 140 grams each Noodle | Spicy Ramen | Spicy Samyang Noodles |,480787077,2999,,2599,"Rs. 2,599",,priceCompare=skuId%3A2256146981%3Bsource%3Alazada-search-voucher%3Bsn%3Acbb68db6b5842fa8504684e3c487729d%3BoriginPrice%3A259900%3BdisplayPrice%3A259900%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1738183010198&fs_ab=1&c=&ratingscore=&freeshipping=0&source=search&channelLpJumpArgs=&fuse_fs=&search=1&sale=9&price=2599&review=0&location=Punjab&stock=1&lang=en&request_id=cbb68db6b5842fa8504684e3c487729d&clickTrackInfo=query%253Anoodles%253Bnid%253A480787077%253Bsrc%253ALazadaMainSrp%253Brn%253Acbb68db6b5842fa8504684e3c487729d%253Bregion%253Apk%253Bsku%253A480787077_PK%253Bprice%253A2599%253Bclient%253Adesktop%253Bsupplier_id%253A6005010144067%253Bbiz_source%253Ah5_unknow%253Bslot%253A2%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10002450%253Bitem_id%253A480787077%253Bsku_id%253A2256146981%253Bshop_id%253A327694%253BtemplateInfo%253A,,0,6.00501E+12,Quik Shop,FALSE,FALSE,480787077_PK,2256146981,,480787077_PK-2256146981,nt_product
0,39704,No Brand,3752,7221,10002142,10002450,458040502_PK-2169632829,query:noodles;nid:458040502;src:LazadaMainSrp;rn:cbb68db6b5842fa8504684e3c487729d;region:pk;sku:458040502_PK;price:1499;client:desktop;supplier_id:1059463;biz_source:h5_unknow;slot:3;utlog_bucket_id:470687;asc_category_id:10002450;item_id:458040502;sku_id:2169632829;shop_id:170846;templateInfo:,https://native.m.lazada.com/dynamicxresult?item_img=https%3A%2F%2Fstatic-01.daraz.pk%2Fp%2F7075d34c93b8096090e3fe32d834a153.jpg&src=srp_findsimilar&item_id=458040502&sku_id=2169632829&params=%7B%22sub_src%22%3A%22long_press%22%2C%22src%22%3A%22srp_findsimilar%22%7D&m=tpp_findSimilar&q=noodles&similarType=findSimilarV1&price=1499.00&spuTriggerItem=0,2,116023,6,0,,img,,,,,,,,,,https://static-01.daraz.pk/p/7075d34c93b8096090e3fe32d834a153.jpg,TRUE,FALSE,0,FALSE,FALSE,458040502,,//www.daraz.pk/products/indomie-baladi-chicken-flavor-noodles-pack-of-5-i458040502.html,Sindh,FALSE,Indomie Baladi Chicken Flavor Noodles | Pack of 5,458040502,,,1499,"Rs. 1,499",,priceCompare=skuId%3A2169632829%3Bsource%3Alazada-search-voucher%3Bsn%3Acbb68db6b5842fa8504684e3c487729d%3BoriginPrice%3A149900%3BdisplayPrice%3A149900%3BsinglePromotionId%3A-1%3BsingleToolCode%3A-1%3BvoucherPricePlugin%3A0%3Btimestamp%3A1738183010198&fs_ab=1&c=&ratingscore=&freeshipping=0&source=search&channelLpJumpArgs=&fuse_fs=&search=1&sale=3&price=1499&review=0&location=Sindh&stock=1&lang=en&request_id=cbb68db6b5842fa8504684e3c487729d&clickTrackInfo=query%253Anoodles%253Bnid%253A458040502%253Bsrc%253ALazadaMainSrp%253Brn%253Acbb68db6b5842fa8504684e3c487729d%253Bregion%253Apk%253Bsku%253A458040502_PK%253Bprice%253A1499%253Bclient%253Adesktop%253Bsupplier_id%253A1059463%253Bbiz_source%253Ah5_unknow%253Bslot%253A3%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10002450%253Bitem_id%253A458040502%253Bsku_id%253A2169632829%253Bshop_id%253A170846%253BtemplateInfo%253A,,0,1059463,Twenty Six,FALSE,FALSE,458040502_PK,2169632829,,458040502_PK-2169632829,nt_product
0,39704,No Brand,3752,7221,10002142,10002450,489087614_PK-2300903415,query:noodles;nid:489087614;src:LazadaMainSrp;rn:cbb68db6b5842fa8504684e3c487729d;region:pk;sku:489087614_PK;price:2499;client:desktop;supplier_id:6005009106053;biz_source:h5_unknow;slot:4;utlog_bucket_id:470687;asc_category_id:10002450;item_id:489087614;sku_id:2300903415;shop_id:294151;templateInfo:,https://native.m.lazada.com/dynamicxresult?item_img=https%3A%2F%2Fstatic-01.daraz.pk%2Fp%2Fe3319bbc59f9cad6c9851d4487135031.jpg&src=srp_findsimilar&item_id=489087614&sku_id=2300903415&params=%7B%22sub_src%22%3A%22long_press%22%2C%22src%22%3A%22srp_findsimilar%22%7D&m=tpp_findSimilar&q=noodles&similarType=findSimilarV1&price=2499.00&spuTriggerItem=0,2,116023,6,0,,img,,,,,,,,,,https://static-01.daraz.pk/p/e3319bbc59f9cad6c9851d4487135031.jpg,TRUE,FALSE,0,FALSE,FALSE,489087614,,//www.daraz.pk/products/samyang-extra-spicy-ramen-pack-of-5120gmx5600gm-korean-ramen-imported-noodles-soupy-noodles-i489087614.html,Punjab,FALSE,Samyang Extra Spicy Ramen (Pack of 5)120gmx5=600gm Korean Ramen Imported Noodles Soupy Noodles,489087614,2999,,2499,"Rs. 2,499",,priceCompare=skuId%3A2300903415%3Bsource%3Alazada-search-voucher%3Bsn%3Acbb68db6b5842fa8504684e3c487729d%3BoriginPrice%3A249900%3BdisplayPrice%3A249900%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1738183010198&fs_ab=1&c=&ratingscore=5.0&freeshipping=0&source=search&channelLpJumpArgs=&fuse_fs=&search=1&sale=1&price=2499&review=1&location=Punjab&stock=1&lang=en&request_id=cbb68db6b5842fa8504684e3c487729d&clickTrackInfo=query%253Anoodles%253Bnid%253A489087614%253Bsrc%253ALazadaMainSrp%253Brn%253Acbb68db6b5842fa8504684e3c487729d%253Bregion%253Apk%253Bsku%253A489087614_PK%253Bprice%253A2499%253Bclient%253Adesktop%253Bsupplier_id%253A6005009106053%253Bbiz_source%253Ah5_unknow%253Bslot%253A4%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10002450%253Bitem_id%253A489087614%253Bsku_id%253A2300903415%253Bshop_id%253A294151%253BtemplateInfo%253A,5,1,6.00501E+12,Tehzeeb Designers,FALSE,FALSE,489087614_PK,2300903415,,489087614_PK-2300903415,nt_product
0,39704,No Brand,3752,7221,10002142,10002450,439153024_PK-2126109819,query:noodles;nid:439153024;src:LazadaMainSrp;rn:cbb68db6b5842fa8504684e3c487729d;region:pk;sku:439153024_PK;price:1695;client:desktop;supplier_id:6005013585025;biz_source:h5_unknow;slot:5;utlog_bucket_id:470687;asc_category_id:10002450;item_id:439153024;sku_id:2126109819;shop_id:594872;templateInfo:,https://native.m.lazada.com/dynamicxresult?item_img=https%3A%2F%2Fstatic-01.daraz.pk%2Fp%2Fb7aa5cd234f6e3f882eaed9c3533c150.jpg&src=srp_findsimilar&item_id=439153024&sku_id=2126109819&params=%7B%22sub_src%22%3A%22long_press%22%2C%22src%22%3A%22srp_findsimilar%22%7D&m=tpp_findSimilar&q=noodles&similarType=findSimilarV1&price=1695.00&spuTriggerItem=0,2,,,,,,,,,,,,,,,https://static-01.daraz.pk/p/b7aa5cd234f6e3f882eaed9c3533c150.jpg,TRUE,FALSE,0,FALSE,FALSE,439153024,,//www.daraz.pk/products/5-i439153024.html,Punjab,FALSE,BEEF NOODLES PACK OF 5,439153024,,,1695,"Rs. 1,695",,priceCompare=skuId%3A2126109819%3Bsource%3Alazada-search-voucher%3Bsn%3Acbb68db6b5842fa8504684e3c487729d%3BoriginPrice%3A169500%3BdisplayPrice%3A169500%3BsinglePromotionId%3A-1%3BsingleToolCode%3A-1%3BvoucherPricePlugin%3A0%3Btimestamp%3A1738183010198&fs_ab=1&c=&ratingscore=&freeshipping=0&source=search&channelLpJumpArgs=&fuse_fs=&search=1&sale=1&price=1695&review=&location=Punjab&stock=1&lang=en&request_id=cbb68db6b5842fa8504684e3c487729d&clickTrackInfo=query%253Anoodles%253Bnid%253A439153024%253Bsrc%253ALazadaMainSrp%253Brn%253Acbb68db6b5842fa8504684e3c487729d%253Bregion%253Apk%253Bsku%253A439153024_PK%253Bprice%253A1695%253Bclient%253Adesktop%253Bsupplier_id%253A6005013585025%253Bbiz_source%253Ah5_unknow%253Bslot%253A5%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10002450%253Bitem_id%253A439153024%253Bsku_id%253A2126109819%253Bshop_id%253A594872%253BtemplateInfo%253A,,,6.00501E+12,Noodles Supplier,FALSE,FALSE,439153024_PK,2126109819,,439153024_PK-2126109819,nt_product
0,124354497,MIABC,3752,7221,10002140,10002445,299804113_PK-1622216892,query:noodles;nid:299804113;src:LazadaMainSrp;rn:cbb68db6b5842fa8504684e3c487729d;region:pk;sku:299804113_PK;price:5599;client:desktop;supplier_id:6005018826477;biz_source:h5_unknow;slot:6;utlog_bucket_id:470687;asc_category_id:10002445;item_id:299804113;sku_id:1622216892;shop_id:805117;templateInfo:,https://native.m.lazada.com/dynamicxresult?item_img=https%3A%2F%2Fstatic-01.daraz.pk%2Fp%2F358f1e4f42dcbf5e332327ae00348d4c.jpg&src=srp_findsimilar&item_id=299804113&sku_id=1622216892&params=%7B%22sub_src%22%3A%22long_press%22%2C%22src%22%3A%22srp_findsimilar%22%7D&m=tpp_findSimilar&q=noodles&similarType=findSimilarV1&price=5599.00&spuTriggerItem=0,2,153137,2,0,Coins save Rs. 56,text,116115,3,0,,img,,,,,https://static-01.daraz.pk/p/358f1e4f42dcbf5e332327ae00348d4c.jpg,TRUE,FALSE,0,FALSE,FALSE,299804113,371 sold,//www.daraz.pk/products/pack-of-40-indonesian-noodles-instant-noodles-hot-and-spicy-noodles-instant-fried-noodles-flavour-noodles-fiery-noodles-abc-noodles-40-mi-instant-goreng-flavour-noodles-in-one-pack-instant-spicy-noodles-carton-pack-pack-of-40-i299804113.html,Sindh,FALSE,Pack of 40 Indonesian Noodles  - Instant Noodles - Hot And Spicy Noodles - Instant Fried Noodles - Flavour Noodles  - Fiery Noodles -  Abc Noodles 40 Mi Instant Goreng -  Flavour Noodles In One Pack -  Instant Spicy Noodles Carton Pack (Pack of 40),299804113,6000,,5599,"Rs. 5,599",,priceCompare=skuId%3A1622216892%3Bsource%3Alazada-search-voucher%3Bsn%3Acbb68db6b5842fa8504684e3c487729d%3BoriginPrice%3A559900%3BdisplayPrice%3A559900%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1738183010198&fs_ab=1&c=&ratingscore=4.936708860759493&freeshipping=0&source=search&channelLpJumpArgs=&fuse_fs=&search=1&sale=371&price=5599&review=79&location=Sindh&stock=1&lang=en&request_id=cbb68db6b5842fa8504684e3c487729d&clickTrackInfo=query%253Anoodles%253Bnid%253A299804113%253Bsrc%253ALazadaMainSrp%253Brn%253Acbb68db6b5842fa8504684e3c487729d%253Bregion%253Apk%253Bsku%253A299804113_PK%253Bprice%253A5599%253Bclient%253Adesktop%253Bsupplier_id%253A6005018826477%253Bbiz_source%253Ah5_unknow%253Bslot%253A6%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10002445%253Bitem_id%253A299804113%253Bsku_id%253A1622216892%253Bshop_id%253A805117%253BtemplateInfo%253A,4.936708860759493,79,6.00502E+12,ABC Noodles,FALSE,FALSE,299804113_PK,1622216892,,299804113_PK-1622216892,nt_product
0,127305007,hazrat food,3752,7221,10002142,10002450,535732106_PK-2514690658,query:noodles;nid:535732106;src:LazadaMainSrp;rn:cbb68db6b5842fa8504684e3c487729d;region:pk;sku:535732106_PK;price:120;client:desktop;supplier_id:6005072256309;biz_source:h5_unknow;slot:7;utlog_bucket_id:470687;asc_category_id:10002450;item_id:535732106;sku_id:2514690658;shop_id:1379473;templateInfo:,https://native.m.lazada.com/dynamicxresult?item_img=https%3A%2F%2Fstatic-01.daraz.pk%2Fp%2F07e1aaf4b91c2c9743db8d3bd5b5ad2a.jpg&src=srp_findsimilar&item_id=535732106&sku_id=2514690658&params=%7B%22sub_src%22%3A%22long_press%22%2C%22src%22%3A%22srp_findsimilar%22%7D&m=tpp_findSimilar&q=noodles&similarType=findSimilarV1&price=120.00&spuTriggerItem=0,2,116216,6,0,,img,153137,2,0,Coins save Rs. 60,text,116115,3,0,img,https://static-01.daraz.pk/p/07e1aaf4b91c2c9743db8d3bd5b5ad2a.jpg,TRUE,FALSE,0,FALSE,FALSE,535732106,22 sold,//www.daraz.pk/products/-i535732106.html,Khyber Pakhtunkhwa,FALSE,Chat Patta Flavored Instant Noodles Sachet's 10 Grams,535732106,,,120,Rs. 120,,priceCompare=skuId%3A2514690658%3Bsource%3Alazada-search-voucher%3Bsn%3Acbb68db6b5842fa8504684e3c487729d%3BoriginPrice%3A12000%3BdisplayPrice%3A12000%3BsinglePromotionId%3A-1%3BsingleToolCode%3A-1%3BvoucherPricePlugin%3A0%3Btimestamp%3A1738183010198&fs_ab=1&c=&ratingscore=&freeshipping=0&source=search&channelLpJumpArgs=&fuse_fs=&search=1&sale=22&price=1.2E%202&review=&location=Khyber%20Pakhtunkhwa&stock=1&lang=en&request_id=cbb68db6b5842fa8504684e3c487729d&clickTrackInfo=query%253Anoodles%253Bnid%253A535732106%253Bsrc%253ALazadaMainSrp%253Brn%253Acbb68db6b5842fa8504684e3c487729d%253Bregion%253Apk%253Bsku%253A535732106_PK%253Bprice%253A120%253Bclient%253Adesktop%253Bsupplier_id%253A6005072256309%253Bbiz_source%253Ah5_unknow%253Bslot%253A7%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10002450%253Bitem_id%253A535732106%253Bsku_id%253A2514690658%253Bshop_id%253A1379473%253BtemplateInfo%253A,,,6.00507E+12,Hazrat Foods,FALSE,FALSE,535732106_PK,2514690658,,535732106_PK-2514690658,nt_product
0,39704,No Brand,3752,7221,10002142,10002450,535195579_PK-2512820444,query:noodles;nid:535195579;src:LazadaMainSrp;rn:cbb68db6b5842fa8504684e3c487729d;region:pk;sku:535195579_PK;price:85;client:desktop;supplier_id:6005240768388;biz_source:h5_unknow;slot:8;utlog_bucket_id:470687;asc_category_id:10002450;item_id:535195579;sku_id:2512820444;shop_id:1805280;templateInfo:,https://native.m.lazada.com/dynamicxresult?item_img=https%3A%2F%2Fpk-live-21.slatic.net%2Fkf%2FSa905000a591841678a86b12ab15a1d974.jpg&src=srp_findsimilar&item_id=535195579&sku_id=2512820444&params=%7B%22sub_src%22%3A%22long_press%22%2C%22src%22%3A%22srp_findsimilar%22%7D&m=tpp_findSimilar&q=noodles&similarType=findSimilarV1&price=85.00&spuTriggerItem=0,2,,,,,,,,,,,,,,,https://pk-live-21.slatic.net/kf/Sa905000a591841678a86b12ab15a1d974.jpg,TRUE,FALSE,0,FALSE,FALSE,535195579,9 sold,//www.daraz.pk/products/60-i535195579.html,Sindh,FALSE,Shoop high quality instant noodles chatpata flavour 60gm,535195579,,,85,Rs. 85,,priceCompare=skuId%3A2512820444%3Bsource%3Alazada-search-voucher%3Bsn%3Acbb68db6b5842fa8504684e3c487729d%3BoriginPrice%3A8500%3BdisplayPrice%3A8500%3BsinglePromotionId%3A-1%3BsingleToolCode%3A-1%3BvoucherPricePlugin%3A0%3Btimestamp%3A1738183010198&fs_ab=1&c=&ratingscore=&freeshipping=0&source=search&channelLpJumpArgs=&fuse_fs=&search=1&sale=9&price=85&review=&location=Sindh&stock=1&lang=en&request_id=cbb68db6b5842fa8504684e3c487729d&clickTrackInfo=query%253Anoodles%253Bnid%253A535195579%253Bsrc%253ALazadaMainSrp%253Brn%253Acbb68db6b5842fa8504684e3c487729d%253Bregion%253Apk%253Bsku%253A535195579_PK%253Bprice%253A85%253Bclient%253Adesktop%253Bsupplier_id%253A6005240768388%253Bbiz_source%253Ah5_unknow%253Bslot%253A8%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10002450%253Bitem_id%253A535195579%253Bsku_id%253A2512820444%253Bshop_id%253A1805280%253BtemplateInfo%253A,,,6.00524E+12,Ladie's Corner ,FALSE,FALSE,535195579_PK,2512820444,,535195579_PK-2512820444,nt_product
0,39704,No Brand,3752,7221,10002142,10002450,439137240_PK-2126081681,query:noodles;nid:439137240;src:LazadaMainSrp;rn:cbb68db6b5842fa8504684e3c487729d;region:pk;sku:439137240_PK;price:300;client:desktop;supplier_id:11060;biz_source:h5_unknow;slot:9;utlog_bucket_id:470687;asc_category_id:10002450;item_id:439137240;sku_id:2126081681;shop_id:95944;templateInfo:,https://native.m.lazada.com/dynamicxresult?item_img=https%3A%2F%2Fstatic-01.daraz.pk%2Fp%2F0a98e6643e4487106337171276747dc3.jpg&src=srp_findsimilar&item_id=439137240&sku_id=2126081681&params=%7B%22sub_src%22%3A%22long_press%22%2C%22src%22%3A%22srp_findsimilar%22%7D&m=tpp_findSimilar&q=noodles&similarType=findSimilarV1&price=300.00&spuTriggerItem=0,2,116023,6,0,,img,,,,,,,,,,https://static-01.daraz.pk/p/0a98e6643e4487106337171276747dc3.jpg,TRUE,FALSE,0,FALSE,FALSE,439137240,104 sold,//www.daraz.pk/products/-i439137240.html,Sindh,FALSE,indomie noodle spicy gourmet,439137240,,,300,Rs. 300,,priceCompare=skuId%3A2126081681%3Bsource%3Alazada-search-voucher%3Bsn%3Acbb68db6b5842fa8504684e3c487729d%3BoriginPrice%3A30000%3BdisplayPrice%3A30000%3BsinglePromotionId%3A-1%3BsingleToolCode%3A-1%3BvoucherPricePlugin%3A0%3Btimestamp%3A1738183010199&fs_ab=1&c=&ratingscore=3.9&freeshipping=0&source=search&channelLpJumpArgs=&fuse_fs=&search=1&sale=104&price=3E%202&review=10&location=Sindh&stock=1&lang=en&request_id=cbb68db6b5842fa8504684e3c487729d&clickTrackInfo=query%253Anoodles%253Bnid%253A439137240%253Bsrc%253ALazadaMainSrp%253Brn%253Acbb68db6b5842fa8504684e3c487729d%253Bregion%253Apk%253Bsku%253A439137240_PK%253Bprice%253A300%253Bclient%253Adesktop%253Bsupplier_id%253A11060%253Bbiz_source%253Ah5_unknow%253Bslot%253A9%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10002450%253Bitem_id%253A439137240%253Bsku_id%253A2126081681%253Bshop_id%253A95944%253BtemplateInfo%253A,3.9,10,11060,Amazing Thai (Karachi),FALSE,FALSE,439137240_PK,2126081681,,439137240_PK-2126081681,nt_product
